year,title,director_names,nations,genres,rate,영화제
2020,사탄은 없다,['모함마드 라술로프'],"[{'name': '독일'}, {'name': '이란'}, {'name': '체코'}]","['드라마', '액션']",평균 ★3.7 (28명),베를린
2020,노마드랜드,['클로이 자오'],"[{'name': '미국'}, {'name': '독일'}]",['드라마'],평균 ★3.8 (32명),베니스
2019,기생충,['봉준호'],[{'name': '한국'}],['드라마'],평균 ★4.3 (53만명),칸
2019,기생충,['봉준호'],[{'name': '한국'}],['드라마'],평균 ★4.3 (53만명),아카데미
2019,시너님스,['나다브 라피드'],"[{'name': '프랑스'}, {'name': '이스라엘'}, {'name': '독일'}]",['드라마'],평균 ★3.3 (261명),베를린
2019,조커,['토드 필립스'],[{'name': '미국'}],"['스릴러', '드라마', '범죄']",평균 ★3.9 (14만명),베니스
2018,어느 가족,['고레에다 히로카즈'],[{'name': '일본'}],"['범죄', '드라마']",평균 ★4.1 (7만명),칸
2018,그린 북,['피터 패럴리'],[{'name': '미국'}],"['코미디', '드라마', '음악']",평균 ★4.2 (17만명),아카데미
2018,터치 미 낫,['애디너 핀틸리'],"[{'name': '루마니아'}, {'name': '독일'}, {'name': '체코'}, {'name': '불가리아'}, {'name': '프랑스'}]",['드라마'],평균 ★3.0 (11명),베를린
2018,로마,['알폰소 쿠아론'],"[{'name': '미국'}, {'name': '멕시코'}]",['드라마'],평균 ★4.1 (3만명),베니스
2017,더 스퀘어,['루벤 외스틀룬드'],"[{'name': '덴마크'}, {'name': '스웨덴'}, {'name': '프랑스'}, {'name': '독일'}]","['드라마', '코미디']","평균 ★3.6 (4,499명)",칸
2017,셰이프 오브 워터: 사랑의 모양,['기예르모 델 토로'],[{'name': '미국'}],"['모험', '스릴러', '판타지', '로맨스', '드라마']",평균 ★3.9 (10만명),아카데미
2017,우리는 같은 꿈을 꾼다,['일디코 엔예디'],[{'name': '헝가리'}],"['로맨스', '드라마']","평균 ★3.6 (5,788명)",베를린
2017,셰이프 오브 워터: 사랑의 모양,['기예르모 델 토로'],[{'name': '미국'}],"['모험', '스릴러', '판타지', '로맨스', '드라마']",평균 ★3.9 (10만명),베니스
2016,"나, 다니엘 블레이크",['켄 로치'],"[{'name': '영국'}, {'name': '프랑스'}, {'name': '벨기에'}]",['드라마'],평균 ★4.1 (8만명),칸
2016,문라이트,['배리 젠킨스'],[{'name': '미국'}],"['드라마', '로맨스']",평균 ★3.8 (17만명),아카데미
2016,떠나간 여인,['라브 디아즈'],[{'name': '필리핀'}],['드라마'],평균 ★3.8 (77명),베니스
2015,디판,['자크 오디아르'],[{'name': '프랑스'}],"['범죄', '드라마']","평균 ★3.4 (2,294명)",칸
2015,스포트라이트,['톰 맥카시'],[{'name': '미국'}],"['드라마', '스릴러']",평균 ★4.0 (18만명),아카데미
2015,화염의 바다,['지안프란코 로시'],"[{'name': '이탈리아'}, {'name': '프랑스'}]",['다큐멘터리'],평균 ★3.4 (187명),베를린
2015,택시,['자파르 파나히'],[{'name': '이란'}],"['코미디', '드라마']","평균 ★3.6 (4,926명)",베를린
2015,먼 곳으로부터,['로렌조 비가스'],"[{'name': '베네수엘라'}, {'name': '멕시코'}]","['로맨스', '드라마']",평균 ★3.3 (223명),베니스
2014,윈터 슬립,['누리 빌게 제일란'],"[{'name': '터키'}, {'name': '프랑스'}, {'name': '독일'}]",['드라마'],"평균 ★3.6 (4,169명)",칸
2014,버드맨,['알레한드로 곤잘레스 이냐리투'],[{'name': '미국'}],"['드라마', '코미디']",평균 ★3.9 (13만명),아카데미
2014,백일염화,['디아오 이난'],"[{'name': '중국'}, {'name': '홍콩'}]","['드라마', '스릴러', '범죄']",평균 ★3.4 (783명),베를린
2014,"비둘기, 가지에 앉아 존재를 성찰하다",['로이 안데르손'],"[{'name': '스웨덴'}, {'name': '독일'}, {'name': '노르웨이'}, {'name': '프랑스'}, {'name': '덴마크'}]","['코미디', '드라마', '판타지']",평균 ★3.6 (350명),베니스
2013,"가장 따뜻한 색, 블루",['압델라티프 케시시'],"[{'name': '프랑스'}, {'name': '스페인'}, {'name': '벨기에'}]","['드라마', '로맨스']",평균 ★3.8 (23만명),칸
2013,노예 12년,['스티브 맥퀸'],"[{'name': '미국'}, {'name': '영국'}]","['역사', '드라마']",평균 ★3.8 (27만명),아카데미
2013,아들의 자리,['칼린 페터 네쩌'],[{'name': '루마니아'}],['드라마'],평균 ★3.4 (273명),베를린
2013,성스러운 도로,['지안프란코 로시'],"[{'name': '이탈리아'}, {'name': '프랑스'}]",['다큐멘터리'],평균 ★3.2 (150명),베니스
2012,아무르,['미카엘 하네케 '],"[{'name': '프랑스'}, {'name': '오스트리아'}, {'name': '독일'}]","['드라마', '로맨스']",평균 ★3.9 (4만명),칸
2012,아르고,['벤 애플렉'],[{'name': '미국'}],"['드라마', '스릴러']",평균 ★3.6 (7만명),아카데미
2012,시저는 죽어야 한다,"['비토리오 타비아니', '파올로 타비아니']",[{'name': '이탈리아'}],['드라마'],"평균 ★3.6 (6,370명)",베를린
2012,피에타,['김기덕'],[{'name': '한국'}],"['드라마', '스릴러']",평균 ★3.1 (14만명),베니스
2011,트리 오브 라이프,['테렌스 맬릭'],[{'name': '미국'}],"['드라마', '판타지']",평균 ★3.4 (2만명),칸
2011,아티스트,['미셀 하자나비시우스'],"[{'name': '미국'}, {'name': '프랑스'}]","['코미디', '드라마', '로맨스']",평균 ★3.8 (3만명),아카데미
2011,씨민과 나데르의 별거,['아쉬가르 파르하디'],"[{'name': '이란'}, {'name': '프랑스'}, {'name': '호주'}]","['드라마', '스릴러']",평균 ★4.0 (2만명),베를린
2011,파우스트,['알렉산더 소쿠로프'],[{'name': '러시아'}],"['드라마', '판타지', '미스터리']","평균 ★3.2 (3,778명)",베니스
2010,엉클 분미,['아피찻퐁 위라세타쿤'],"[{'name': '태국'}, {'name': '프랑스'}]","['판타지', '드라마']","평균 ★3.4 (5,316명)",칸
2010,킹스 스피치,['톰 후퍼'],"[{'name': '영국'}, {'name': '미국'}, {'name': '호주'}]","['드라마', '역사']",평균 ★3.7 (29만명),아카데미
2010,허니,['세미 카플라노글루'],"[{'name': '터키'}, {'name': '독일'}, {'name': '프랑스'}]",['드라마'],평균 ★3.5 (683명),베를린
2010,썸웨어,['소피아 코폴라'],[{'name': '미국'}],['드라마'],"평균 ★3.5 (3,942명)",베니스
2009,하얀 리본,['미카엘 하네케 '],"[{'name': '독일'}, {'name': '오스트리아'}, {'name': '프랑스'}, {'name': '이탈리아'}, {'name': '캐나다'}]","['드라마', '역사', '미스터리', '스릴러']",평균 ★3.8 (1만명),칸
2009,밀크 오브 소로우 - 슬픈 모유,['클로디아 로사'],"[{'name': '스페인'}, {'name': '페루'}]","['드라마', '음악']",평균 ★3.5 (328명),베를린
2009,레바논,['사무엘 마오즈'],"[{'name': '독일'}, {'name': '프랑스'}, {'name': '이스라엘'}]","['전쟁', '드라마']",평균 ★3.4 (755명),베니스
2008,클래스,['로랑 캉테'],[{'name': '프랑스'}],['드라마'],"평균 ★3.7 (5,836명)",칸
2008,허트 로커,['캐서린 비글로우'],[{'name': '미국'}],"['드라마', '스릴러', '전쟁']",평균 ★3.8 (19만명),아카데미
2008,슬럼독 밀리어네어,['대니 보일'],"[{'name': '영국'}, {'name': '미국'}, {'name': '인도'}]","['드라마', '로맨스', '스릴러']",평균 ★3.9 (41만명),아카데미
2008,더 레슬러,['대런 아로노프스키'],"[{'name': '미국'}, {'name': '프랑스'}]","['드라마', '스포츠', '액션']",평균 ★3.7 (3만명),베니스
2007,"4개월, 3주... 그리고 2일",['크리스티안 문쥬'],[{'name': '루마니아'}],['드라마'],"평균 ★3.8 (8,998명)",칸
2007,노인을 위한 나라는 없다,"['에단 코엔', '조엘 코엔']",[{'name': '미국'}],"['범죄', '스릴러', '드라마']",평균 ★4.0 (26만명),아카데미
2007,엘리트 스쿼드,['호세 파딜라'],"[{'name': '미국'}, {'name': '브라질'}, {'name': '네덜란드'}, {'name': '아르헨티나'}]","['액션', '범죄']",평균 ★3.8 (1만명),베를린
2007,"색, 계",['이안'],"[{'name': '미국'}, {'name': '중국'}, {'name': '대만'}]","['드라마', '역사', '로맨스', '스릴러', '전쟁']",평균 ★3.6 (28만명),베니스
2006,보리밭을 흔드는 바람,['켄 로치'],"[{'name': '독일'}, {'name': '이탈리아'}, {'name': '프랑스'}, {'name': '영국'}, {'name': '아일랜드'}]","['드라마', '전쟁']",평균 ★3.8 (2만명),칸
2006,디파티드,['마틴 스콜세지'],"[{'name': '미국'}, {'name': '홍콩'}]","['스릴러', '드라마', '범죄', '액션']",평균 ★3.7 (14만명),아카데미
2006,투야의 결혼,['왕지안'],[{'name': '중국'}],"['로맨스', '드라마']",평균 ★3.5 (212명),베를린
2006,스틸 라이프,['지아 장 커'],"[{'name': '중국'}, {'name': '홍콩'}]",['드라마'],평균 ★3.8 (1만명),베니스
2005,더 차일드,"['장-피에르 다르덴', '뤽 다르덴']","[{'name': '벨기에'}, {'name': '프랑스'}]","['범죄', '드라마', '로맨스']","평균 ★3.8 (5,751명)",칸
2005,그르바비차,['야스밀라 즈바니치'],[{'name': '보스니아 헤르체고비나'}],"['전쟁', '드라마']",평균 ★3.6 (456명),베를린
2005,카르멘,['마크 돈포드 메이'],[{'name': '남아프리카 공화국'}],"['로맨스', '드라마']",평균 ★3.6 (31명),베를린
2005,브로크백 마운틴,['이안'],"[{'name': '미국'}, {'name': '캐나다'}]","['드라마', '로맨스']",평균 ★3.8 (18만명),베니스
2004,화씨 9/11,['마이클 무어'],[{'name': '미국'}],"['다큐멘터리', '드라마']",평균 ★3.5 (3만명),칸
2004,크래쉬,['폴 해기스'],"[{'name': '독일'}, {'name': '미국'}]","['범죄', '드라마']",평균 ★3.6 (2만명),아카데미
2004,밀리언 달러 베이비,['클린트 이스트우드'],[{'name': '미국'}],"['드라마', '스포츠']",평균 ★3.8 (12만명),아카데미
2004,미치고 싶을 때,['파티 아킨'],"[{'name': '독일'}, {'name': '터키'}]","['드라마', '로맨스']","평균 ★3.5 (2,643명)",베를린
2004,베라 드레이크,['마이크 리'],"[{'name': '뉴질랜드'}, {'name': '프랑스'}, {'name': '영국'}]","['드라마', '범죄']",평균 ★3.7 (779명),베니스
